,Unnamed: 0,Address,Zone,Price,Rooms,Floor,Link,Cordinates,Time from universty
0,0,מוריה 18, שכונה א',"1,700",2.0,3,https://www.yad2.co.il/item/7k7juy0d,"31.2471995,34.7848355",38 mins
1,1,טבנקין 44, שכונה ה',"2,400",3.5,2,https://www.yad2.co.il/item/li7b57yi,"31.2546376,34.7733733",42 mins
2,2,התלמוד 111, שכונה ד',"1,900",3.0,3,https://www.yad2.co.il/item/rkfpi7,"31.2688833,34.7844319",24 mins
3,3,מבצע נחשון 70, שכונה ו',"3,750",5.0,9,https://www.yad2.co.il/item/auxqzrof,"31.262111,34.7874999",18 mins
4,4,סרן דב 3, נווה זאב,"3,300",4.0,11,https://www.yad2.co.il/item/zo9z6lbd,"31.23534,34.7808483",56 mins
5,5,גיורא יוספטל 13, שכונה ד',"2,400",3.0,3,https://www.yad2.co.il/item/c5mc9z,"31.2713535,34.7963644",12 mins
6,6,דפנה 1, סיגליות,"3,800",4.0,9,https://www.yad2.co.il/item/p2m5rlza,"31.256407,34.7543563",1 hour 7 mins
7,7,דרך המשחררים 86, שכונה ה',"2,500",3.0,2,https://www.yad2.co.il/item/5afxi8z9,"31.2507562,34.7847687",33 mins
8,8,רחבת הרב עוזיאל 23," שכונה י""א","2,600",3.0,3,https://www.yad2.co.il/item/21w9uu9f,"31.2558223,34.771452",42 mins
9,9,יצחק בן צבי 9, מרכז אזרחי,"4,000",4.0,1,https://www.yad2.co.il/item/akgim1lx,"31.2443404,34.7987491",32 mins
10,10,שדרות דוד בן גוריון 22, שכונה ג',"2,100",2.0,2,https://www.yad2.co.il/item/s82ygp62,"31.2592271,34.8100692",18 mins
11,11,ז'בוטינסקי 15, שכונה ג',"2,750",4.0,1,https://www.yad2.co.il/item/o63ix72d,"31.238422,34.773727",57 mins
12,12,ז'בוטינסקי 22, שכונה ג',"2,150",2.0,2,https://www.yad2.co.il/item/twh7qhp1,"31.2398243,34.7751871",54 mins
13,13,התלמוד 99, שכונה ד',"1,700",2.0,3,https://www.yad2.co.il/item/g22yyv1a,"31.2693818,34.7857022",23 mins
14,14,שדרות הערים התאומות 6, רמות הרכס,"3,950",4.0,2,https://www.yad2.co.il/item/b64wg49b,"31.2783599,34.7990589",23 mins
15,15,אלפסי 16," שכונה י""א","2,500",2.0,3,https://www.yad2.co.il/item/ykng02lz,"31.2588133,34.7722059",40 mins
16,16,יצחק שיפר 8, שכונה ד',"1,100",3.0,4,https://www.yad2.co.il/item/uoa4vu,"31.2706538,34.7986355",10 mins
17,17,דרך מצדה 27, שכונה ב',לאצויןמחי,5.0,2,https://www.yad2.co.il/item/jcu2gg12,"31.25824,34.7938494",14 mins
18,18,התקווה 1, מרכז אזרחי,"3,900",4.0,13,https://www.yad2.co.il/item/nw43xf1m,"31.2447273,34.7986274",32 mins
19,19,וינגייט 80, שכונה ג',"2,500",3.0,8,https://www.yad2.co.il/item/yp7ty8oc,"31.25603449999999,34.8019593",18 mins
20,20,גאולים 25, שכונה ג',"2,300",3.0,3,https://www.yad2.co.il/item/ywmf0xyn,"31.248116,34.8055812",31 mins
21,21,גוש עציון 52, שכונה ג',"1,800",3.0,2,https://www.yad2.co.il/item/7mia7x,"31.2583418,34.8090307",19 mins
22,22,משעול סוסיא, שכונה ט',"4,100",5.0,3,https://www.yad2.co.il/item/xtlfyf,"31.2447288,34.7724667",55 mins
23,23,רחבת הרב עוזיאל 17," שכונה י""א","2,100",3.0,2,https://www.yad2.co.il/item/97zqjbuw,"31.2556481,34.771945",42 mins
24,24,סרן דב, נווה זאב,"3,500",4.0,11,https://www.yad2.co.il/item/y5mshbd7,"31.2359586,34.7794492",57 mins
25,25,בצלאל, שכונה ב',"2,100",2.0,1,https://www.yad2.co.il/item/boiyig1o,"31.2545295,34.7893178",23 mins
26,26,מבצע עובדה 64, שכונה ו',"1,900",3.0,2,https://www.yad2.co.il/item/dfy0oy,"31.2600653,34.7756766",35 mins
27,27,יצחק רגר 173, שכונה ד',"2,300",4.0,2,https://www.yad2.co.il/item/ozsttcyl,"31.2684864,34.7977598",8 mins
28,28,חוגלה, שכונה ה',לאצויןמחי,2.0,3,https://www.yad2.co.il/item/xqvpczdl,"31.249507,34.78276",37 mins
29,29,"שכונה י""א, רמות ספיר", באר שבע,"2,200",2.0,2,https://www.yad2.co.il/item/f70lrbig,"31.259829,34.766262",48 mins
30,30,רוטנברג, שכונה ג',"1,600",2.0,1,https://www.yad2.co.il/item/gvlxcgix,"31.2590423,34.8082985",18 mins
31,31,התקווה, מרכז אזרחי,"4,000",5.0,12,https://www.yad2.co.il/item/upd0oor7,"31.2460626,34.7990911",29 mins
32,32,המרד, רמות,"7,250",6.0,קרקע,https://www.yad2.co.il/item/dvrsawsy,"31.2718726,34.8150662",27 mins
33,33,משה שרת," שכונה י""א","2,350",3.5,4,https://www.yad2.co.il/item/zbb9doas,"31.2579737,34.7676348",46 mins
34,34,מינץ 34, שכונה ב',"2,300",3.0,3,https://www.yad2.co.il/item/f8g644zi,"31.257255,34.7785465",35 mins
35,35,דרך המשחררים 77, שכונה א',"2,500",4.0,3,https://www.yad2.co.il/item/8rgpeo,"31.2513048,34.7866319",31 mins
36,36,שפרינצק, שכונה ד',"2,300",3.0,3,https://www.yad2.co.il/item/grhjor,"31.2702359,34.7933627",15 mins
37,37,רחבת יותם 12, שכונה ו',"2,400",3.0,2,https://www.yad2.co.il/item/4yb9418s,"31.26474339999999,34.7833622",23 mins
38,38,חטיבת הנגב, העיר העתיקה,"2,550",2.0,4,https://www.yad2.co.il/item/s8fxmg,"31.239437,34.7846116",47 mins
39,39,שלמה המלך 3, שכונה ד',"1,500",4.0,1,https://www.yad2.co.il/item/nqpzrmsy,"31.26151549999999,34.7970782",6 mins
